NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,NUM_17,NUM_18,NUM_19,NUM_20,NUM_21,NUM_22,NUM_23,NUM_24,NUM_25,NUM_26,NUM_27,NUM_28,NUM_29,NUM_30,NUM_31,NUM_32,NUM_33,NUM_34,NUM_35,NUM_36,NUM_37,NUM_38,NUM_39,NUM_40,NUM_41,NUM_42,NUM_43,NUM_44,NUM_45,NUM_46,NUM_47,NUM_48,NUM_49,NUM_50,NUM_51,NUM_52,NUM_53,NUM_54,NUM_55,NUM_56,NUM_57,NUM_58,NUM_59,NUM_60,NUM_61,NUM_62,NUM_63,NUM_64,NUM_65,NUM_66,NUM_67,NUM_68,NUM_69,NUM_70,NUM_71,NUM_72,CAT_00,CAT_01,CAT_02,CAT_03,CAT_04,CAT_05,CAT_06,CAT_07,CAT_08,CAT_09,CAT_10,CAT_11,CAT_12,CAT_13,CAT_14,CAT_15,CAT_16,CAT_17,CAT_18,CAT_19,CAT_20,CAT_21,CAT_22,CAT_23,CAT_24,CAT_25,CAT_26,CAT_27,CAT_28,CAT_29,CAT_30,CAT_31,CAT_32,CAT_33,CAT_34,CAT_35,CAT_36,CAT_37,CAT_38,CAT_39,CAT_40,CAT_41,CAT_42,CAT_43,CAT_44,target
1.0,0.999982,0.6,0.307692,0.999982,0.7,0.466667,0.999947,0.883386,0.6,0.307692,0.999973,0.7,0.375,1.0,1.0,0.854119,0.869568,0.85497,0.892686,1.0,0.83383,0.89033,0.830611,0.638456,0.573995,0.688899,0.620578,0.666124,1.0,0.587256,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1.0,0.85644,0.803013,0.855454,0.802935,0.95,1.0,1.0,1.0,1.0,1.0,0.888889,0.941176,1.0,0.941176,0.86,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.530065,0.760775,0.647217,1.0,1.0,1.0,0.82159,3,2,2,2,2,1,1,0.788883,0.783218,1,1,1,1,1,1,0.726359,0.726359,1,1,1.0,1.0,3,3,3,2,2,3,3,1.0,1.0,3,2,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.860946,3,1,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978679,0.883386,0.60788,0.396168,0.982576,0.644336,0.438054,1.0,0.979322,0.854119,0.869568,0.85497,0.892686,0.5,0.83383,0.89033,0.830611,0.638456,0.573995,0.688899,0.620578,0.666124,0.666667,0.587256,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,0.666667,0.5,0.285714,0.5,0.285714,0.463415,1.0,1.0,1.0,1.0,0.666667,0.444444,0.721852,0.575,0.651732,0.5,0.428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.662489,0.842344,0.76457,0.530065,0.760775,0.647217,1.0,1.0,1.0,0.82159,3,3,3,1,1,1,1,0.788883,0.783218,1,1,1,1,1,1,0.0,0.0,2,2,1.0,1.0,3,3,2,2,2,3,3,1.0,1.0,3,1,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.860946,1,1,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978679,0.883386,0.60788,0.396168,0.982576,0.644336,0.438054,1.0,0.979322,0.854119,0.869568,0.85497,0.892686,0.75,0.83383,0.89033,0.830611,0.638456,0.573995,0.688899,0.620578,0.666124,0.857143,0.587256,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,0.857143,1.0,1.0,1.0,1.0,0.857143,1.0,1.0,1.0,1.0,1.0,0.625,0.769231,0.95,0.769231,0.473684,0.605263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016949,0.818182,0.692308,0.530065,0.760775,0.647217,0.791184,0.888243,0.829007,0.82159,2,3,3,1,1,1,1,0.788883,0.783218,1,1,1,1,1,1,1.0,1.0,3,3,1.0,1.0,3,3,3,2,2,3,3,1.0,1.0,3,1,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.860946,2,1,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999704,0.883386,0.75,0.416667,0.999219,0.555556,0.357143,1.0,0.999999,0.854119,0.869568,0.85497,0.892686,1.0,0.83383,0.89033,0.830611,0.638456,0.573995,0.688899,0.620578,0.666124,1.0,0.587256,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1.0,0.85644,0.803013,0.855454,0.802935,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.933333,1.0,0.933333,0.829268,0.833333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.530065,0.760775,0.647217,1.0,1.0,1.0,0.82159,3,3,3,2,2,1,1,0.788883,0.783218,1,1,1,1,1,1,0.726359,0.726359,1,1,1.0,1.0,3,3,3,2,2,3,3,1.0,1.0,3,2,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.860946,3,1,2
0.0,0.999876,0.555556,0.333333,0.99945,0.5,0.294118,0.978679,0.883386,0.60788,0.396168,0.982576,0.644336,0.438054,1.0,0.979322,0.854119,0.869568,0.85497,0.892686,0.0,0.83383,0.89033,0.830611,0.638456,0.573995,0.688899,0.620578,0.666124,0.170139,0.587256,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,0.027778,0.85644,0.803013,0.855454,0.802935,0.166667,1.0,1.0,1.0,1.0,0.6,0.375,0.589744,0.04,0.461538,0.305556,0.347826,1.0,0.5,0.666667,0.666667,0.527778,0.527778,1.0,1.0,1.0,1.0,0.662489,0.842344,0.76457,0.530065,0.760775,0.647217,0.791184,0.888243,0.829007,0.82159,2,2,2,1,1,1,1,0.788883,0.783218,1,1,1,1,1,1,0.726359,0.726359,1,1,1.0,1.0,3,3,2,2,1,3,2,1.0,1.0,3,1,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.860946,1,1,1
0.5,0.999959,0.666667,0.545455,0.999944,0.6,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.892686,0.333333,0.83383,0.89033,0.830611,0.638456,0.573995,0.688899,0.620578,0.666124,0.48,0.587256,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,0.436364,0.85644,0.803013,0.855454,0.802935,0.4,1.0,1.0,1.0,1.0,1.0,0.857143,0.923077,0.346154,0.923077,0.90625,0.909091,0.857143,0.857143,0.904762,0.892857,0.888889,0.842105,1.0,1.0,1.0,1.0,0.0,0.363636,0.2,0.530065,0.760775,0.647217,1.0,1.0,1.0,1.0,3,2,2,3,3,3,3,0.788883,0.783218,1,1,1,1,1,1,0.726359,0.726359,1,1,1.0,1.0,3,3,3,2,1,2,2,1.0,1.0,3,1,3,0.999758,0.999758,0.999758,0.999758,0.999758,0.999758,1,1,1.0,2,1,1
1.0,0.999814,0.777778,0.357143,0.999883,0.6,0.4,0.978679,0.883386,0.60788,0.396168,0.982576,0.644336,0.438054,1.0,0.979322,0.854119,0.869568,0.85497,0.892686,1.0,0.83383,0.89033,0.830611,0.638456,0.573995,0.688899,0.620578,0.666124,1.0,0.587256,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1.0,0.85644,0.803013,0.855454,0.802935,1.0,1.0,1.0,1.0,1.0,0.8,0.444444,0.589286,1.0,0.571429,0.294118,0.263158,0.857143,0.545455,0.680556,0.666667,0.516129,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.530065,0.760775,0.647217,0.791184,0.888243,0.829007,0.82159,2,2,2,1,1,1,1,0.788883,0.783218,1,1,1,1,1,1,0.726359,0.726359,1,1,1.0,1.0,3,3,2,2,2,2,2,1.0,1.0,3,2,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.860946,3,1,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1.0,0.85644,0.803013,0.855454,0.802935,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.916667,1.0,0.90625,0.690476,0.85,1.0,0.666667,0.8,0.8,0.666667,0.684211,0.962043,0.936303,0.963992,0.936316,0.662489,0.842344,0.76457,0.530065,0.760775,0.647217,0.791184,0.888243,0.829007,1.0,2,3,3,3,3,3,3,1.0,1.0,3,3,3,3,1,1,0.726359,0.726359,1,1,1.0,1.0,3,3,2,2,2,3,2,0.915725,0.913316,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1,1,2
0.666667,0.977671,0.333333,0.176471,0.985082,0.4,0.235294,0.978679,0.883386,0.60788,0.396168,0.982576,0.644336,0.438054,0.99925,0.979322,0.854119,0.869568,0.85497,0.892686,0.5,0.83383,0.89033,0.830611,0.638456,0.573995,0.688899,0.620578,0.666124,0.681633,0.587256,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,0.571429,0.85644,0.803013,0.855454,0.802935,0.416667,1.0,1.0,1.0,1.0,0.5,0.2,0.396825,0.413793,0.285714,0.178571,0.166667,1.0,0.285714,0.444444,0.444444,0.315789,0.333333,0.962043,0.936303,0.963992,0.936316,0.662489,0.842344,0.76457,0.530065,0.760775,0.647217,0.791184,0.888243,0.829007,0.82159,2,2,2,1,1,1,1,0.788883,0.783218,1,1,1,1,1,1,0.726359,0.726359,1,1,1.0,1.0,3,3,2,2,1,3,2,0.915725,0.913316,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.860946,1,1,2
0.5,0.998367,0.444444,0.266667,0.994876,0.5,0.294118,0.978679,0.883386,0.60788,0.396168,0.982576,0.644336,0.438054,0.999971,0.979322,0.854119,0.869568,0.85497,0.892686,0.5,0.83383,0.89033,0.830611,0.638456,0.573995,0.688899,0.620578,0.666124,0.5625,0.587256,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,0.533333,0.85644,0.803013,0.855454,0.802935,0.5,1.0,1.0,1.0,1.0,0.3,0.272727,0.487831,0.333333,0.315344,0.365385,0.238806,0.666667,0.4,0.527778,0.5,0.65,0.423077,1.0,1.0,1.0,1.0,0.0,0.2,0.047619,0.530065,0.760775,0.647217,0.791184,0.888243,0.829007,0.82159,2,2,2,1,1,1,1,0.788883,0.783218,1,1,1,1,1,1,0.726359,0.726359,1,1,1.0,1.0,3,3,2,2,1,2,2,1.0,1.0,3,1,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.860946,2,1,1
