NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_100,NUM_101,NUM_102,NUM_103,NUM_104,NUM_105,NUM_106,NUM_107,NUM_108,NUM_109,NUM_11,NUM_110,NUM_111,NUM_112,NUM_113,NUM_114,NUM_115,NUM_116,NUM_117,NUM_118,NUM_119,NUM_12,NUM_120,NUM_121,NUM_122,NUM_123,NUM_124,NUM_125,NUM_126,NUM_127,NUM_128,NUM_129,NUM_13,NUM_130,NUM_131,NUM_132,NUM_133,NUM_134,NUM_135,NUM_136,NUM_137,NUM_138,NUM_139,NUM_14,NUM_140,NUM_141,NUM_142,NUM_143,NUM_144,NUM_145,NUM_146,NUM_147,NUM_148,NUM_149,NUM_15,NUM_150,NUM_151,NUM_152,NUM_153,NUM_154,NUM_155,NUM_156,NUM_157,NUM_158,NUM_16,NUM_17,NUM_18,NUM_19,NUM_20,NUM_21,NUM_22,NUM_23,NUM_24,NUM_25,NUM_26,NUM_27,NUM_28,NUM_29,NUM_30,NUM_31,NUM_32,NUM_33,NUM_34,NUM_35,NUM_36,NUM_37,NUM_38,NUM_39,NUM_40,NUM_41,NUM_42,NUM_43,NUM_44,NUM_45,NUM_46,NUM_47,NUM_48,NUM_49,NUM_50,NUM_51,NUM_52,NUM_53,NUM_54,NUM_55,NUM_56,NUM_57,NUM_58,NUM_59,NUM_60,NUM_61,NUM_62,NUM_63,NUM_64,NUM_65,NUM_66,NUM_67,NUM_68,NUM_69,NUM_70,NUM_71,NUM_72,NUM_73,NUM_74,NUM_75,NUM_76,NUM_77,NUM_78,NUM_79,NUM_80,NUM_81,NUM_82,NUM_83,NUM_84,NUM_85,NUM_86,NUM_87,NUM_88,NUM_89,NUM_90,NUM_91,NUM_92,NUM_93,NUM_94,NUM_95,NUM_96,NUM_97,NUM_98,NUM_99,CAT_00,CAT_01,CAT_02,target
42018,270.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2182.0,4463370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,1320.0,2436572.0,889354.0,0.0,516.0,0.0,0.0,0.0,2436722.0,8076.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2480020.0,0.0,0.0,0.0,0.0,0.0,1313182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,211582.0,325790.0,3260176.0,3187542.0,991064.0,204892.0,0.0,0.0,0.0,226.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4463370.0,88.0,118.0,1942.0,6.0,1313182.0,27398.0,700698.0,289548.0,263740.0,249560.0,238440.0,42017.95,4463370.0,4463370.0,208.0,0.0,0.0,80888.0,829500.0,0.0,85966.0,4.0,236.0,2398056.96,0.0,1037246.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068.0,0.0,1209600.0,0.0,neg
418474,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,726390.0,9345422.0,4666.0,47018784.0,65418.0,12574.0,3610678.0,3218644.0,6833584.0,27360886.0,1571260.0,22694.0,21287550.0,2.0,0.0,,,,,,,,,10521272.0,,38874.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767424.0,0.0,468796.0,54506.0,17130.0,0.0,0.0,724286.0,104520.0,87781180.0,11284048.0,47682.0,0.0,0.0,0.0,0.0,505861640.0,25243.2,34548.0,7059712.0,18238766.0,9486876.0,20346120.0,1813340.0,3448668.0,1631748.0,638470.0,200602.0,171034.0,6524.0,0.0,0.0,85596.0,60.0,0.0,1712.0,3134.0,35874998.0,29213734.0,11124990.0,4996682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25844.0,2945774.0,39702620.0,21502.0,0.0,77302.0,96250.0,143152.0,359006.0,14239636.0,27719160.0,61210.0,20.0,4.0,0.0,17604430.0,8522144.0,5394096.0,3329804.0,2239340.0,1645000.0,1890816.0,1906662.0,161854.0,1594.0,47018784.0,0.0,652.0,4320.0,514.0,20346120.0,673020.0,4855220.0,6215688.0,284260.0,313040.0,218300.0,418474.31,47018784.0,47018784.0,45775572.0,243197.0,792260.0,95028.0,881140.0,42695740.0,0.0,,,35755015.68,0.0,6877149.12,0.0,0.0,0.0,0.0,95332.0,3449444.0,14795906.0,17308926.0,6119958.0,825548.0,99818.0,808.0,,0.0,1209600.0,,neg
41916,230.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,24422.0,400256.0,194.0,2950290.0,4340.0,540.0,16582.0,217422.0,115534.0,1664138.0,753262.0,23500.0,1879386.0,140.0,0.0,386.0,206.0,2350728.0,203600.0,40.0,6866.0,0.0,0.0,467640.0,2440116.0,2374.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23022.0,0.0,26504.0,30962.0,6154.0,0.0,0.0,67994.0,17056.0,91860.0,22732.0,732.0,0.0,0.0,0.0,0.0,1915240.0,1172.86,1228.0,397468.0,502546.0,352644.0,1232796.0,175370.0,376926.0,429278.0,299102.0,157898.0,103508.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2270042.0,1735032.0,679492.0,461166.0,0.0,0.0,0.0,142.0,38.0,0.0,0.0,0.0,0.0,0.0,165668.0,1720334.0,694824.0,214632.0,0.0,2636.0,2346.0,2640.0,15850.0,1510572.0,1260874.0,540.0,0.0,0.0,0.0,1057802.0,630148.0,288232.0,219458.0,185886.0,173870.0,215298.0,24764.0,0.0,0.0,2950290.0,150.0,48.0,250.0,0.0,1232796.0,44686.0,313232.0,357332.0,278540.0,275540.0,116800.0,41915.24,2950290.0,2950290.0,2935612.0,16545.0,4170.0,47344.0,522580.0,2795458.0,76564.0,0.0,190.0,2421030.72,0.0,371738.88,0.0,0.0,0.0,0.0,6044.0,118350.0,1081622.0,1397234.0,170274.0,17298.0,4442.0,194.0,186.0,0.0,1209600.0,0.0,neg
2444,168.0,,0.0,0.0,0.0,0.0,0.0,0.0,134.0,26686.0,6.0,173504.0,2444.0,30.0,7024.0,4880.0,29504.0,103044.0,6824.0,368.0,99744.0,0.0,0.0,226.0,402.0,123166.0,41754.0,0.0,98.0,214.0,0.0,27554.0,125702.0,116.0,22.0,,,,,,,,0.0,,834.0,878.0,344.0,179832.0,26966.0,5700.0,862.0,8080.0,1042.0,0.0,155204.0,438.0,0.0,0.0,,,,16966.0,20704.0,16988.0,76654.0,12022.0,30932.0,56116.0,354.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,150298.0,139834.0,23206.0,6112.0,0.0,0.0,0.0,102.0,68.0,0.0,0.0,0.0,0.0,0.0,8788.0,93352.0,12160.0,39818.0,0.0,2996.0,190.0,290.0,1774.0,131140.0,17728.0,0.0,0.0,0.0,0.0,28640.0,77804.0,28176.0,11004.0,5816.0,1680.0,820.0,170.0,8.0,0.0,173504.0,0.0,8.0,74.0,4.0,76654.0,1510.0,16276.0,6876.0,0.0,0.0,22880.0,2443.32,173504.0,173504.0,,520.0,178.0,,173060.0,,3572.0,,,138038.4,0.0,13673.28,,,0.0,0.0,0.0,1696.0,73534.0,75246.0,2868.0,646.0,128.0,0.0,,0.0,1209600.0,,neg
12,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1568.0,20.0,25876.0,1152.0,12.0,156.0,22.0,68.0,1084.0,3120.0,358.0,4406.0,8.0,0.0,10.0,26.0,2322.0,20.0,0.0,8.0,0.0,0.0,0.0,2386.0,60.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,902.0,236.0,60.0,26.0,4960.0,494.0,0.0,6910.0,22.0,0.0,0.0,0.0,2.26,60.0,4326.0,1502.0,82.0,1568.0,16.0,14.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3616.0,702.0,22242.0,842.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.0,4250.0,0.0,236.0,50.0,106.0,1062.0,186.0,1770.0,2570.0,0.0,0.0,0.0,4576.0,386.0,110.0,54.0,68.0,148.0,446.0,70.0,22.0,100.0,25876.0,2.0,2.0,0.0,0.0,1568.0,152.0,18868.0,3352.0,,,22040.0,11.03,25876.0,25876.0,27222.0,24.0,0.0,2460.0,25640.0,6030.0,306.0,2.0,4.0,1955.52,0.0,2985.6,2.0,26.0,0.0,0.0,0.0,182.0,3574.0,2212.0,12.0,0.0,0.0,0.0,0.0,0.0,1209600.0,0.0,neg
122,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9352.0,4.0,38122.0,990.0,14.0,20.0,384.0,816.0,11048.0,886.0,0.0,4798.0,0.0,0.0,34.0,422.0,6960.0,128.0,0.0,16.0,0.0,0.0,0.0,7368.0,132.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,0.0,0.0,6766.0,706.0,138.0,20.0,27320.0,8444.0,0.0,34604.0,0.0,0.0,0.0,0.0,1.42,78.0,7922.0,3584.0,1748.0,6468.0,226.0,176.0,64.0,80.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19050.0,13252.0,19030.0,2272.0,0.0,0.0,0.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5956.0,8202.0,0.0,108.0,14.0,34.0,506.0,424.0,3820.0,9252.0,0.0,0.0,0.0,11914.0,1180.0,262.0,202.0,60.0,358.0,96.0,78.0,6.0,2.0,38122.0,4.0,2.0,0.0,0.0,6468.0,348.0,13538.0,5182.0,,,18680.0,121.29,38122.0,38122.0,38078.0,50.0,0.0,3566.0,37760.0,14252.0,684.0,2.0,12.0,6551.04,0.0,6721.92,6.0,38.0,0.0,0.0,0.0,4996.0,8278.0,866.0,18.0,0.0,0.0,0.0,0.0,0.0,1209600.0,0.0,neg
60310,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,924.0,848060.0,0.0,3899866.0,4568.0,550.0,132086.0,275822.0,180632.0,2266068.0,869006.0,7124.0,2460862.0,0.0,0.0,,,,,,,,,421762.0,,2746.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4248.0,0.0,27410.0,67502.0,13096.0,0.0,0.0,121224.0,27824.0,4018280.0,2172414.0,0.0,0.0,0.0,0.0,0.0,310920.0,1416.72,1584.0,514918.0,548668.0,390066.0,1966320.0,248302.0,580756.0,457654.0,365740.0,223140.0,389448.0,17164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3356972.0,2996658.0,542196.0,285178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61494.0,3297608.0,373112.0,3642.0,0.0,5080.0,2616.0,2980.0,5678.0,1449990.0,2269208.0,302.0,2.0,0.0,0.0,1726396.0,609074.0,411218.0,284566.0,211476.0,194616.0,256942.0,41568.0,0.0,0.0,3899866.0,0.0,108.0,252.0,496.0,1966320.0,54032.0,246888.0,291576.0,152900.0,184060.0,31180.0,60310.89,3899866.0,3899866.0,3849078.0,19940.0,1679452.0,21606.0,262060.0,3735856.0,0.0,,,3246543.36,0.0,483719.04,0.0,0.0,0.0,0.0,0.0,60226.0,2048198.0,1434546.0,172886.0,16316.0,3604.0,80.0,,0.0,1209600.0,,neg
281202,1362.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,17945464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.0,1256.0,14115786.0,623746.0,34.0,658.0,0.0,0.0,0.0,15786566.0,9358.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97802.0,293192.0,52620.0,0.0,0.0,401380.0,68298.0,2013220.0,314434.0,0.0,17063584.0,225538.0,0.0,0.0,25420550.0,0.0,0.0,0.0,0.0,0.0,8574096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6282.0,10060.0,15566948.0,14094592.0,2369184.0,1126436.0,2.0,0.0,0.0,1448.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17945464.0,26.0,34.0,388.0,38.0,8574096.0,189586.0,1289252.0,1071278.0,130980.0,149640.0,132100.0,281202.63,17945464.0,17945464.0,13598.0,0.0,31734.0,73426.0,977980.0,0.0,481658.0,0.0,1038.0,15636036.48,0.0,1229508.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,1209600.0,0.0,neg
39994,202.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,257870.0,16.0,2932498.0,3570.0,430.0,139430.0,275214.0,164124.0,1709480.0,503346.0,12166.0,1788880.0,56.0,0.0,276.0,684.0,2327970.0,54502.0,0.0,78526.0,0.0,20.0,707466.0,2337616.0,1682.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51470.0,0.0,19676.0,47574.0,7584.0,0.0,0.0,107978.0,16506.0,43880.0,6920.0,1820.0,0.0,0.0,0.0,0.0,257930.0,959.34,1008.0,502610.0,534596.0,379332.0,1192244.0,175650.0,325870.0,302522.0,217290.0,140416.0,218570.0,10960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467298.0,2108334.0,464792.0,312022.0,0.0,0.0,0.0,370.0,258.0,0.0,0.0,0.0,0.0,0.0,66806.0,1256130.0,1270516.0,214364.0,0.0,1852.0,2546.0,2088.0,41010.0,2378816.0,381496.0,8.0,0.0,0.0,0.0,1027538.0,637410.0,217506.0,174628.0,157328.0,152044.0,254046.0,187316.0,0.0,0.0,2932498.0,16.0,494.0,186.0,4.0,1192244.0,35304.0,227578.0,233986.0,165860.0,219740.0,74020.0,39993.45,2932498.0,2932498.0,2935330.0,17966.0,1416.0,47722.0,507380.0,2807816.0,102526.0,2.0,68.0,2321891.52,0.0,482312.64,0.0,0.0,0.0,0.0,0.0,22108.0,801206.0,1500972.0,452270.0,26504.0,4662.0,94.0,8.0,0.0,1209600.0,0.0,neg
12,10.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1234.0,1798.0,18.0,25146.0,1084.0,18.0,12.0,8.0,610.0,412.0,2302.0,776.0,2274.0,84.0,0.0,2.0,8.0,1384.0,170.0,0.0,0.0,0.0,0.0,0.0,2238.0,44.0,70.0,0.0,0.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,158.0,54.0,40.0,20.0,640.0,328.0,0.0,9970.0,22.0,0.0,0.0,0.0,72.8,40.0,3538.0,1492.0,56.0,1922.0,16.0,34.0,44.0,110.0,16.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,10236.0,8182.0,14878.0,212.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,4538.0,0.0,1112.0,8.0,8.0,16.0,12.0,2546.0,1604.0,0.0,0.0,0.0,3760.0,418.0,120.0,98.0,228.0,80.0,448.0,52.0,14.0,88.0,25146.0,0.0,4.0,0.0,0.0,1922.0,168.0,13008.0,1824.0,,,14700.0,11.73,25146.0,25146.0,27244.0,29.0,358.0,2394.0,24920.0,6374.0,340.0,0.0,8.0,1910.4,20.16,2358.72,0.0,12.0,0.0,0.0,614.0,2090.0,1156.0,1404.0,42.0,0.0,0.0,0.0,12.0,0.0,1209600.0,0.0,neg
