NUM_00,NUM_01,NUM_02,NUM_03,CAT_00,target
921859.0,698.0,11.0,673515.0,0,1
1540744.0,3455.0,609.0,1511331.0,0,1
1076178.0,3189.0,1139.0,227257.0,1,0
859740.0,2195.0,12.0,826466.0,0,1
59300.0,758.0,244.0,0.0,1,0
1247126.0,3198.0,196.0,1147631.0,0,1
125943.0,1139.0,213.0,22703.0,1,1
24397.0,3521.0,226.0,20792.0,0,1
132047.0,690.0,35.0,97361.0,1,1
1302397.0,1872.0,136.0,956885.0,1,1
777266.0,2329.0,262.0,15320.0,1,0
1575301.0,2569.0,159.0,0.0,0,0
916438.0,3597.0,83.0,49088.0,0,1
44675.0,498.0,299.0,42854.0,0,1
1537794.0,1135.0,119.0,1338416.0,1,0
74646.0,78.0,1206.0,24741.0,1,1
747063.0,125.0,31.0,165509.0,0,1
298030.0,3785.0,74.0,47093.0,1,1
403019.0,1834.0,279.0,324510.0,0,1
1556594.0,1522.0,158.0,676277.0,0,1
435274.0,3156.0,413.0,380300.0,1,1
835262.0,1880.0,207.0,0.0,1,0
1338416.0,2781.0,209.0,0.0,0,0
54769.0,3536.0,136.0,0.0,0,0
18629.0,3680.0,1340.0,10029.0,1,0
526791.0,3472.0,64.0,468591.0,1,1
747640.0,95.0,24.0,0.0,0,0
491147.0,518.0,13.0,410316.0,0,1
1703524.0,718.0,23.0,1338416.0,0,0
1135577.0,1516.0,201.0,1081177.0,1,1
931924.0,952.0,93.0,0.0,0,0
321035.0,494.0,14.0,294818.0,0,1
227818.0,2917.0,229.0,227646.0,0,1
733300.0,1956.0,482.0,0.0,1,0
36355.0,3318.0,10.0,0.0,0,0
529533.0,974.0,50.0,0.0,0,0
512003.0,2383.0,30.0,147215.0,0,1
344153.0,498.0,580.0,337887.0,1,1
472654.0,2876.0,65.0,378746.0,1,1
575769.0,2161.0,6.0,425632.0,0,1
62126.0,749.0,8.0,0.0,0,0
28018.0,3551.0,108.0,3705.0,1,1
561743.0,3607.0,625.0,556766.0,1,1
34614.0,2543.0,197.0,0.0,0,0
437014.0,3513.0,23.0,118684.0,1,1
952145.0,941.0,50.0,0.0,0,0
1338415.0,3559.0,10.0,320984.0,0,1
1286578.0,1119.0,582.0,0.0,0,0
1298339.0,2349.0,343.0,1266027.0,1,1
541947.0,1919.0,19.0,0.0,0,0
910580.0,1595.0,30.0,340600.0,1,1
292230.0,3527.0,938.0,291458.0,1,1
96471.0,1723.0,1055.0,0.0,0,0
1338416.0,3434.0,43.0,420827.0,0,1
234556.0,2125.0,33.0,0.0,1,0
1671663.0,1509.0,605.0,1491308.0,0,1
981994.0,2830.0,121.0,865288.0,1,1
790737.0,2926.0,367.0,724725.0,1,1
1353042.0,2648.0,2686.0,1269315.0,1,1
287172.0,3699.0,13.0,0.0,1,0
429913.0,1900.0,27.0,0.0,1,0
12458.0,304.0,123.0,0.0,1,0
76276.0,2377.0,276.0,74827.0,1,1
898241.0,2203.0,23.0,804721.0,0,1
1397755.0,1581.0,4710.0,1373426.0,1,1
448847.0,1834.0,279.0,403019.0,0,1
75261.0,500.0,559.0,75256.0,0,1
1349837.0,3627.0,44.0,0.0,0,0
1717619.0,239.0,590.0,1192319.0,1,1
1556863.0,1689.0,16.0,497153.0,0,1
1531982.0,1114.0,1156.0,1450457.0,1,1
41600.0,1561.0,27.0,0.0,0,0
1416928.0,2349.0,383.0,1383802.0,1,1
1723303.0,3870.0,629.0,1717375.0,1,1
230641.0,1160.0,198.0,200159.0,1,1
