NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,NUM_17,NUM_18,NUM_19,NUM_20,NUM_21,NUM_22,NUM_23,NUM_24,NUM_25,NUM_26,NUM_27,NUM_28,NUM_29,NUM_30,NUM_31,NUM_32,NUM_33,NUM_34,NUM_35,NUM_36,CAT_00,CAT_01,CAT_02,CAT_03,CAT_04,CAT_05,CAT_06,target
0.3561,0.127,0.3415,0.0146,0.4229,0.55,0.423,0.1755,0.4057,0.02283,0.5702,0.7457,0.5525,8.874,9.683,10.89,2.021,95.38,37.32,47.0,867200.0,2577000.0,0.1285,205000.0,1517000.0,989100.0,819.2,77.5,0.1333,10.57,1690.0,29.15,689.7,124.5,197.4,710.4,0.5167,0.0,0.1667,0.1667,0.0,0.0,0.0,0.08333,0
0.0985,0.378,0.05006,0.04844,0.4782,0.8561,0.3237,0.4284,0.08182,0.268,0.5443,0.9726,0.46,3.337,19.33,6.4460000000000015,3.108,17.67,19.98,39.32,355700.0,931800.0,0.07915,215700.0,867100.0,13110.0,750.9,57.03,0.1333,9.217,456.9,3.4810000000000003,105.0,21.15,16.9,108.7,0.1833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.05405,0.3247,0.05024,0.003812,0.6022,0.9269,0.1986,0.3664,0.1853,0.01333,0.6263,0.9926,0.6796,6.961,19.55,10.21,3.249,14.27,44.55,64.1,513000.0,1124000.0,0.1091,129700.0,1297000.0,0.0,750.9,32.05,0.1333,9.25,298.9,2.3080000000000003,88.72,16.58,11.57,93.47,0.1833,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,1
0.5056,0.336,0.3525,0.1532,0.1379,0.4738,0.5978,0.415,0.4063,0.2096,0.1782,0.5931,0.0923,1.268,7.382999999999999,2.929,1.661,29.14,3.167,8.517000000000001,397700.0,2342000.0,0.03616,612000.0,6872000.0,361000.0,168700.0,355.4,0.1333,527.3,2470.0,14.37,158.4,43.51,158.4,316.7,5.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.02009,0.9655,0.01709,0.003,0.01027,0.9758,0.05633,0.9814,0.04567,0.01067,0.01102,0.9916,0.026,0.1042,0.45,0.1417,0.0375,9.857,1.25,1.7,18380.0,33570.0,0.002167,22410.0,264100.0,0.0,750.9,3.767,0.1333,9.233,320.6,3.407,42.33,13.26,16.23,58.57,0.1833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.04446,0.482,0.03935,0.005106,0.4543,0.9363,0.0652,0.5045,0.05552,0.009683,0.4767,0.9749,0.4156,3.707,14.42,6.093999999999999,2.387,31.17,21.83,36.25,406600.0,567500.0,0.0735,160200.0,1058000.0,0.0,887.5,18.18,0.1333,11.77,483.3,5.278,163.6,36.45,33.5,165.2,0.2667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.04799,0.5856,0.043,0.004981,0.3326,0.9182,0.09048,0.6279,0.07882,0.01167,0.3592,0.987,0.3239,3.0010000000000003,11.22,4.925,1.924,60.45,17.82,28.88,334500.0,475800.0,0.05892,129300.0,828100.0,0.0,750.9,14.57,0.1333,9.7,544.4,6.5710000000000015,429.2,67.02,38.52,430.6,0.2167,0.0,0.0,0.0,0.0,0.0,0.0,0.08333,1
0.0355,0.594,0.03094,0.00456,0.3601,0.9541,0.1093,0.6154,0.0923,0.01698,0.3738,0.9889,0.3395,3.128,11.8,5.074,1.946,14.02,18.15,29.53,374700.0,493400.0,0.06172,130800.0,941600.0,0.0,750.9,15.27,0.1333,9.217,342.4,3.197,45.05,17.22,14.83,54.5,0.1833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0752299999999999,0.2822,0.06655,0.008681,0.622,0.9041,0.1292,0.3186,0.1276,0.02098,0.6633,0.982,0.6708,7.631,13.35,9.919,2.289,16.06,45.88,59.23,666100.0,2023000.0,0.1146,221800.0,1358000.0,0.0,20870.0,56.8,0.1333,23.65,369.4,3.178,93.28,19.23,12.68,97.28,0.4833,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,1
10.06,0.0389,9.916,0.1413,0.3785,0.4174,76.61,0.05247,76.45,0.1922,0.4584,0.5089,0.581,3.892,23.1,9.718,5.8260000000000005,17.0,14.98,27.72,521600.0,7998000.0,0.1526,1900000.0,4973000.0,0.0,132800.0,554.2,0.1333,433.8,2482.0,2.7260000000000004,93.23,19.73,10.35,95.47,4.65,0.125,0.08333,0.0,0.0,0.0,0.0,0.0,0
0.07667,7.349,0.06416,0.01251,0.3192,7.667999999999998,0.2223,54.71,0.2,0.02265,0.3302,55.03,0.5214,7.676,6.683,9.022,1.346,14.98,47.48,54.17,554400.0,2108000.0,0.08829,144000.0,674000.0,0.0,750.9,83.68,0.1333,80.78,384.7,2.486,92.52,17.46,9.233,97.33,0.9833,0.0,0.08333,0.1667,0.0,0.0,0.0,0.0,1
0.02229,0.9573,0.01877,0.003521,0.008792,0.9661,0.08367,0.9868,0.0715,0.01217,0.009333,0.9961,0.01633,0.1278,0.45,0.2028,0.075,29.96,1.217,1.317,15500.0,69550.0,0.002444,6605.0,30940.0,0.0,750.9,5.367000000000001,0.1333,9.217,386.4,5.339,170.7,35.3,36.72,171.6,0.1833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1531,0.05094,0.0996,0.05345,0.7368,0.7878,0.2474,0.07463,0.1849,0.1129,0.8898,0.9644,0.736,4.8180000000000005,31.9,10.22,5.399,23.35,29.53,61.43,487900.0,3033000.0,0.1278,403300.0,948400.0,19640.0,750.9,387.1,0.1333,9.217,974.1,4.093,166.1,27.45,20.93,169.3,0.1833,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,0
0.04602,0.5585,0.0416,0.004417,0.2987,0.8571,0.1215,0.6457,0.1103,0.01117,0.3467,0.9901,0.319,3.25,9.633,4.9030000000000005,1.653,470.9,17.87,27.5,358000.0,486200.0,0.06011,118000.0,943100.0,0.0,750.9,13.33,0.1333,9.35,309.4,4.303,4604.0,475.2,21.0,4605.0,0.1833,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0
0.1151,0.29,0.05972,0.0554299999999999,0.5453,0.8353,0.2791,0.337,0.09517,0.2199,0.6247,0.9617,0.5154,3.883,21.08,7.436,3.553,28.69,22.7,43.68,418100.0,931900.0,0.09077,261800.0,751200.0,45890.0,750.9,85.83,0.1333,9.217,574.2,4.756,207.5,33.45,37.08,211.2,0.1833,0.0,0.08333,0.1667,0.0,0.0,0.0,0.0,1
0.1023,0.02112,0.08755,0.01475,0.8524,0.8735,0.1981,0.03167,0.1837,0.04465,0.9288,0.9605,0.7856,4.84,40.55,11.71,6.867999999999999,25.89,22.27,62.82,1210000.0,3296000.0,0.1574,516900.0,2276000.0,28400.0,887.5,216.7,0.1333,11.72,749.7,4.644,184.9,30.54,30.27,189.1,0.2667,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,0
0.05339,0.5815,0.04716,0.006229,0.3405,0.922,0.1178,0.6165,0.1017,0.01617,0.3633,0.9792,0.2939,2.178,13.2,4.375,2.197,48.58,12.03,25.23,256300.0,427600.0,0.05402,155700.0,827000.0,0.0,750.9,23.3,0.1333,18.22,615.0,6.964,255.6,55.54,41.37,258.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.05099,0.6025,0.04098,0.01001,0.3225,0.9249,0.08997,0.6361,0.07115,0.02082,0.3421,0.9783,0.3195,3.2880000000000003,9.25,4.875,1.587,45.72,18.92,28.17,390500.0,579800.0,0.05898,125100.0,1141000.0,0.0,20870.0,16.9,0.1333,23.68,500.9,5.756,356.9,51.47,34.9,358.3,0.4833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.04685,0.5648,0.04143,0.005417,0.3761,0.941,0.1103,0.5894,0.09945,0.0125,0.3916,0.981,0.3806,3.635,11.77,5.603,1.968,14.73,21.45,33.22,393200.0,529000.0,0.06784,159000.0,1056000.0,0.0,750.9,19.3,0.1333,9.217,490.2,7.01,42.65,21.74,36.97,79.57,0.1833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.3941,0.1398,0.373,0.02104,0.3861,0.526,0.4573,0.1705,0.4328,0.02835,0.4723,0.6356,0.5009,9.228,6.517,10.95,1.721,81.22,37.02,43.53,1209000.0,3080000.0,0.1383,294600.0,2818000.0,925300.0,887.5,80.72,0.1333,28.43,2099.0,30.18,564.1,111.4,221.5,624.2,0.85,0.0,0.08333,0.08333,0.0,0.0,0.0,0.1667,0
0.05062,0.5662,0.04406,0.006562,0.3709,0.9371,0.0945,0.5964,0.0819999999999999,0.0125,0.3903,0.9839,0.3795,3.751,10.92,5.627999999999999,1.876,13.45,22.27,33.18,444600.0,587800.0,0.06872,149500.0,1216000.0,0.0,955.7,24.38,0.1333,20.4,537.4,6.194,44.45,19.64,33.8,71.87,0.7167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17.63,0.1648,17.43,0.1945,0.1569,0.3217,136.5,0.2034,136.3,0.2319,0.1818,0.3852,0.5528,2.919,49.22,9.132,6.2120000000000015,18.98,12.27,49.4,776900.0,5583000.0,0.1272,3538000.0,9846000.0,0.0,191100.0,346.0,0.1333,450.6,2976.0,6.174,90.82,25.16,30.27,95.33,4.05,0.125,0.08333,0.08333,0.0,0.0,0.0,0.0,0
0.0745,0.1536,0.06813,0.006375,0.7488,0.9024,0.1175,0.179,0.1105,0.011,0.8011,0.9801,0.7708,7.917000000000002,21.93,11.58,3.667,16.97,47.82,69.75,827400.0,1271000.0,0.1328,198500.0,2479000.0,0.0,819.2,36.92,0.1333,9.417,427.7,3.847,90.63,20.82,21.37,95.55,0.2,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,1
0.0375,0.5837,0.03308,0.004419,0.366,0.9497,0.09097,0.6082,0.07747,0.0135,0.3806,0.9889,0.3635,3.5380000000000003,10.82,5.369,1.832,16.17,20.93,31.75,426200.0,585700.0,0.06568,132100.0,1219000.0,0.0,836.3,14.9,0.1333,10.13,339.6,3.849,94.97,20.02,24.3,99.0,0.2167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.02689,0.9611,0.02354,0.003354,0.0,0.9611,0.06865,0.9982,0.06165,0.009333,0.0,0.9982,0.01265,0.08889,0.0,0.08889,0.0,33.07,1.067,1.067,8533.0,37840.0,0.0010539999999999,3004.0,23360.0,0.0,750.9,5.283,0.1333,9.35,483.0,6.433,183.4,39.5,60.17,184.8,0.1833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.04379,0.5008,0.03906,0.004731,0.4408,0.9416,0.061,0.5243,0.05233,0.008667,0.4567,0.9805,0.4042,3.785,13.23,6.082999999999998,2.299,17.59,22.32,35.55,424400.0,650800.0,0.07332,155900.0,1341000.0,0.0,2048.0,19.12,0.1333,13.6,405.9,3.826,95.35,21.42,19.62,100.4,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1157,0.2472,0.06042,0.05527,0.5884,0.8356,0.2055,0.299,0.1005,0.1471,0.6816,0.9806,0.5505,4.074,22.9,7.907999999999999,3.835,21.78,24.3,46.8,407700.0,1147000.0,0.09547,268300.0,832000.0,49150.0,750.9,93.05,0.1333,9.217,582.6,4.7330000000000005,118.6,26.52,35.65,122.4,0.1833,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,1
0.0878299999999999,0.0122,0.07596,0.01187,0.8783,0.8905,0.1615,0.0176699999999999,0.144,0.02248,0.956,0.9725,0.7968,4.669,38.68,11.37,6.702999999999999,23.91,21.92,60.27,1053000.0,3018000.0,0.1601,566300.0,1709000.0,20740.0,955.7,168.8,0.1333,20.38,595.0,4.301,163.2,28.21,25.77,166.4,0.7167,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,0
