NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,target
2.6594,32.9474,0.2023,0.3246,258.334,50.6363,45.6706,-10.6073,2.9232,22.112,h
9.621,6.4359,0.1658,0.2835,126.983,36.2711,-22.7185,7.5526,2.7649,16.615,g
8.4648,73.8944,0.0646,0.1224,290.816,88.0102,81.9724,10.8999,3.9169,44.629,g
76.277,-15.4367,0.3718,0.7148,149.275,12.6919,7.1163,-11.2249,2.1414,11.7118,g
34.5949,-8.2202,0.3009,0.521,268.2667,26.3331,17.9252,0.4299,2.3377,13.2689,h
3.901,-12.363,0.1961,0.3092,203.146,34.9632,21.8051,14.5036,2.7885,20.9011,g
7.894,-3.0176,0.3324,0.6108,102.636,17.3057,8.3053,6.4644,2.2672,10.9327,g
59.8434,17.3775,0.3659,0.6609,86.024,10.0244,8.209,5.0734,2.3919,3.137,h
9.5897,-80.2914,0.1969,0.2839,279.075,97.719,-80.3631,-20.8974,3.0959,31.3451,g
16.7554,-35.7291,0.1799,0.3171,227.657,71.5387,-33.9236,-5.6527,2.692,14.1801,h
76.958,30.0354,0.212,0.4223,210.047,34.2537,-15.498,11.3238,2.7582,11.0576,h
34.198,23.2794,0.3168,0.5948,179.343,22.1311,18.1866,10.9782,2.3655,9.9695,g
0.2716,2.5949,0.1494,0.2708,332.491,85.7886,42.6917,19.4383,3.3077,27.6151,g
87.4691,-28.4715,0.1743,0.339,181.371,27.8664,11.1398,15.4853,2.7941,23.2616,h
2.7843,28.5875,0.082,0.157,184.124,52.8741,38.1459,-24.7417,3.5654,30.0875,g
6.6579,-83.401,0.1032,0.1995,248.532,80.8324,53.8102,11.9316,3.1641,25.8828,g
77.453,14.9947,0.3796,0.751,126.999,12.9993,-2.9654,-11.8018,2.0881,11.234,g
80.9959,26.6172,0.2013,0.275,315.1309,78.4353,91.2802,38.3197,3.1894,64.309,h
56.5044,-96.4934,0.1134,0.2249,292.4028,197.2885,-160.6685,47.0535,3.4971,52.5378,h
89.502,8.2414,0.2005,0.3935,183.491,25.9087,15.484,7.6827,2.6037,15.0075,g
0.276,-98.5735,0.1566,0.3004,231.883,54.9761,43.8277,5.774,2.7372,12.1803,g
33.6345,-214.8365,0.1287,0.256,126.6935,249.5054,-257.6876,16.2713,3.0543,24.6661,h
17.229,0.9951,0.2828,0.5011,140.762,20.5116,-6.0133,-10.8397,2.3375,12.1955,g
0.9256,16.2442,0.144,0.2867,198.753,42.0158,28.4049,-12.1781,2.9191,15.7637,g
66.6354,-10.8604,0.2,0.3925,122.289,24.51,-14.3725,-9.1651,2.6048,16.2319,g
10.5115,11.8309,0.1536,0.2594,149.794,38.2245,-21.6217,16.1872,2.8648,28.3284,g
68.4468,11.4702,0.1812,0.3683,198.1331,36.9119,5.7815,8.5926,2.7509,19.53,h
74.952,8.824,0.3841,0.5922,128.431,19.1651,-11.8129,10.5599,2.4706,15.8722,g
2.5861,36.2827,0.0503,0.0987,214.333,86.3828,79.6906,-29.3995,4.0581,40.1229,g
9.7574,-31.6304,0.2447,0.4866,162.3856,20.8693,-36.1922,-9.3976,2.3017,20.7738,h
2.266,-101.059,0.0928,0.1678,279.101,93.5072,39.8282,-7.802,3.3054,35.7955,g
35.433,-4.6924,0.3096,0.5087,28.6647,24.1251,-19.9943,-14.5139,2.5366,15.3433,g
27.0291,-15.7764,0.1308,0.2447,76.6136,33.4458,12.7581,-13.9039,2.7727,20.9121,g
26.61,9.9375,0.6174,0.8232,205.79,12.6531,10.0252,-7.3446,2.2368,9.2325,g
60.931,-75.4809,0.0811,0.1433,368.565,126.242,-59.6187,22.9211,3.9511,99.4705,h
74.796,14.8499,0.4031,0.7877,156.879,13.3114,2.4881,-11.8944,2.2109,10.6229,g
33.326,11.5538,0.2385,0.4128,39.5942,21.3858,10.908,-11.6139,2.5545,17.6684,g
65.6389,7.5362,0.3678,0.6351,193.9021,27.5031,-5.2818,4.3336,2.2861,4.0154,h
71.1266,-76.5107,0.0328,0.0694,178.4461,104.7215,104.2027,-73.8648,3.7795,82.1747,h
83.143,-55.4629,0.0918,0.1788,165.895,88.781,69.3623,-17.9457,2.9322,26.3649,h
10.1005,-32.0133,0.2397,0.3444,174.968,42.9665,-32.2305,9.8792,2.5769,19.5815,g
89.274,1.9014,0.337,0.6608,105.214,15.0205,-2.0715,3.6258,2.356,12.1918,g
0.085,3.9917,0.2484,0.4344,170.775,26.2968,22.4926,-9.9256,2.5051,12.1111,g
45.7173,21.0733,0.3707,0.6322,145.127,18.6618,12.4181,-4.8895,2.2405,9.9741,g
1.784,21.528,0.1303,0.2456,259.624,62.4314,35.1855,6.8249,3.0569,20.7422,g
77.0084,-186.5479,0.1218,0.1804,116.691,162.1211,-114.016,29.1666,3.1793,42.7781,h
2.2189,103.569,0.072,0.1343,210.977,102.584,85.3717,22.6898,3.6564,37.8894,g
13.3338,28.1802,0.3691,0.5526,105.453,46.507,40.0369,8.4745,2.3847,11.2989,g
5.874,-24.7215,0.1621,0.2754,237.141,44.8602,20.9483,-6.3106,2.993,14.8309,g
0.393,16.0802,0.2162,0.402,261.014,38.4181,39.5951,-13.8313,2.5971,17.1406,g
1.746,21.2094,0.1256,0.2478,151.84,35.914,18.594,15.7727,3.3118,25.5262,g
18.6383,-14.4406,0.4336,0.817,203.803,13.5435,-5.0898,11.8049,2.2999,10.0373,g
1.92,-13.0393,0.1442,0.2802,365.621,84.8731,-55.8522,-10.283,3.0382,24.3425,g
46.22,-7.4657,0.3627,0.679,47.3819,25.4432,11.0785,-7.4821,2.5105,6.611,h
12.3377,38.5765,0.1083,0.1926,174.788,59.2716,60.4821,-8.4718,3.5549,27.3622,g
56.0462,-95.6425,0.2033,0.3506,299.5727,200.0049,-170.8186,56.5595,3.1557,75.4877,h
5.176,-14.4213,0.1387,0.2524,328.086,67.3382,48.1027,-27.8305,2.9012,29.0223,g
88.9949,8.5139,0.1251,0.2125,187.4824,35.6466,19.1695,24.0649,3.1125,29.5726,h
7.8637,32.0326,0.2822,0.5416,187.979,26.257,18.2772,-6.0079,2.4864,9.2674,g
7.8961,23.974,0.0892,0.1671,173.964,57.2739,45.6583,-20.4466,3.6651,29.9088,g
73.1853,-54.4891,0.2192,0.4154,245.8926,36.9253,-24.2138,5.3283,2.7601,8.6527,h
14.006,10.5786,0.3043,0.4743,149.888,23.7883,17.7972,-10.9103,2.5441,14.4309,g
9.697,-63.8415,0.1976,0.3831,299.406,43.2557,16.1869,-6.1091,2.5205,12.0269,g
9.475,8.0503,0.2919,0.5105,192.303,32.5101,21.3098,-6.7075,2.5821,12.912,h
4.098,-133.7645,0.0523,0.0661,305.6383,115.8125,63.6934,-45.5081,3.7433,76.4158,h
0.8832,-23.5479,0.2919,0.5772,184.309,18.0214,-9.0283,-4.8682,2.1732,10.6734,g
40.0241,24.4022,0.2835,0.4858,202.3074,35.9113,-14.2679,-10.2569,2.6242,4.2216,h
83.6828,-13.5468,0.1139,0.2046,156.651,38.2907,-38.2617,-18.3794,2.9747,33.7175,g
60.8088,61.8411,0.1154,0.202,209.6546,94.6136,64.8482,-11.1942,3.1317,17.7329,h
2.772,-75.2595,0.1626,0.2507,255.471,83.2852,55.207,18.6662,3.1284,22.5835,g
11.697,-128.202,0.2119,0.3881,268.957,113.563,86.7902,13.6508,2.5283,22.193,g
32.125,-31.8156,0.2126,0.408,64.3195,26.9333,9.9184,7.2516,2.5447,16.4084,g
30.2038,-14.9195,0.226,0.43,65.2698,29.3411,26.1636,-12.012,2.6566,18.9033,g
49.1373,-136.4353,0.0562,0.1083,92.9174,188.4315,-142.1801,-16.3953,3.1463,40.2437,h
59.8619,-213.8419,0.1064,0.1823,157.4959,155.9172,-84.9758,94.2014,3.0382,102.74,h
2.984,-38.872,0.097,0.1692,319.867,97.3151,80.0073,22.2258,3.3217,28.5147,g
8.4572,57.6978,0.1015,0.1913,196.396,47.8108,-19.8689,7.6107,3.0445,20.5476,g
8.4918,21.1438,0.2344,0.4201,202.648,23.9604,11.9696,-6.8281,2.567,12.8211,h
68.6674,-26.4809,0.2797,0.5082,100.45,20.8484,-10.5577,-9.4669,2.437,12.248,g
6.1874,-19.9089,0.2074,0.3735,377.914,122.153,-83.3984,22.3203,2.846,20.0348,g
1.0066,73.4867,0.1216,0.2268,253.304,60.9285,32.5575,7.1581,2.8995,15.7068,g
10.7423,30.637,0.1946,0.3824,165.406,29.3314,17.4264,17.4762,2.4706,18.0657,g
22.571,71.0278,0.1043,0.176,160.652,83.534,95.8359,34.8795,3.243,39.6402,g
1.5847,58.2021,0.1886,0.3646,162.155,56.7163,31.828,-1.008,2.6762,10.2833,g
6.3965,-7.9783,0.1201,0.2163,218.587,40.7147,-28.4524,24.6495,3.036,29.3001,g
39.415,10.1023,0.3083,0.5153,150.626,21.6165,-7.4822,-9.2746,2.5132,12.2794,g
11.6762,-36.2624,0.1546,0.2447,293.853,65.6585,50.2457,-18.2446,3.1543,27.9322,g
72.777,-30.8935,0.2379,0.3771,140.302,36.1485,-28.6659,-10.8549,2.7983,18.4435,h
28.8208,29.9583,0.3251,0.5797,166.873,26.1965,20.4444,16.0408,2.3829,14.1468,g
61.51,3.0502,0.2861,0.5579,161.396,20.8088,-10.5176,-11.1042,2.3253,11.7226,g
2.565,-53.2244,0.2566,0.3665,288.182,77.0603,-39.5128,-15.9558,2.7259,14.9248,g
34.5922,23.8858,0.25,0.4749,196.133,24.5279,24.4522,-4.0409,2.5539,16.6189,g
19.2546,2.6846,0.2538,0.4365,237.3567,22.4408,-25.6271,2.1038,2.6412,18.8418,h
69.8962,-0.586,0.5446,0.7815,216.185,17.5277,1.0294,-4.2404,2.2109,7.466,g
12.5848,25.2963,0.2309,0.4406,164.364,25.9297,-20.1359,-12.4451,2.5786,14.8099,g
28.79,-23.7708,0.3693,0.722,177.459,20.7779,-10.7906,-5.9792,2.081,7.1383,g
27.2606,6.5255,0.4596,0.8357,198.949,18.4277,-10.3391,4.0425,2.2541,7.1285,h
7.3257,19.2488,0.2118,0.42,152.567,38.7378,32.5873,-6.4778,2.7551,16.5018,g
8.4031,-29.3971,0.26,0.4824,157.321,21.927,8.5547,9.0607,2.3294,12.4392,g
20.4225,26.4655,0.1576,0.2898,131.925,39.87,22.2943,-9.3516,2.4969,14.241,g
4.9965,3.4712,0.2485,0.4656,185.966,44.8332,-34.5551,7.9535,2.7067,10.5008,g
89.8538,158.0282,0.11,0.1852,182.4629,119.6889,-90.4173,10.384,2.9075,26.3635,h
15.001,1.2733,0.2981,0.4989,140.915,19.4624,-8.3848,-10.1565,2.3738,12.5574,g
5.866,-147.426,0.1586,0.2792,233.889,94.6984,67.7843,-9.0978,2.8189,18.5091,g
51.167,11.3365,0.3709,0.6081,182.199,18.988,12.4287,9.6704,2.5815,12.6811,h
76.584,7.7134,0.1395,0.2611,89.9856,28.6277,-17.4477,7.502,2.9506,24.2951,g
1.039,53.4752,0.1215,0.2072,173.496,56.3758,41.4943,-12.426,3.1861,19.6173,g
4.1285,71.4695,0.0588,0.1175,237.936,88.2047,86.5774,-18.8174,3.9097,30.1447,g
74.0676,-35.6894,0.1809,0.3265,81.3918,34.0847,-39.5396,-14.1016,2.6191,22.3498,h
35.4993,25.981,0.3531,0.7063,95.7374,21.8344,-0.1704,6.6103,2.1804,6.832,g
87.178,-4.5013,0.2565,0.4609,214.602,26.4888,-20.3114,11.335,2.5843,11.231,h
