NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,CAT_00,CAT_01,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,CAT_02,CAT_03,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,NUM_17,CAT_04,CAT_05,NUM_18,NUM_19,NUM_20,NUM_21,NUM_22,NUM_23,CAT_06,CAT_07,NUM_24,NUM_25,NUM_26,NUM_27,NUM_28,NUM_29,CAT_08,CAT_09,NUM_30,NUM_31,NUM_32,NUM_33,NUM_34,NUM_35,CAT_10,CAT_11,NUM_36,NUM_37,NUM_38,NUM_39,NUM_40,NUM_41,CAT_12,CAT_13,NUM_42,NUM_43,NUM_44,NUM_45,NUM_46,NUM_47,CAT_14,CAT_15,NUM_48,NUM_49,NUM_50,NUM_51,NUM_52,NUM_53,CAT_16,CAT_17,NUM_54,NUM_55,NUM_56,NUM_57,NUM_58,NUM_59,CAT_18,CAT_19,NUM_60,NUM_61,NUM_62,NUM_63,NUM_64,NUM_65,CAT_20,CAT_21,NUM_66,NUM_67,NUM_68,CAT_22,NUM_69,NUM_70,NUM_71,CAT_23,NUM_72,NUM_73,NUM_74,CAT_24,NUM_75,NUM_76,NUM_77,CAT_25,NUM_78,NUM_79,NUM_80,CAT_26,NUM_81,NUM_82,NUM_83,CAT_27,NUM_84,NUM_85,NUM_86,CAT_28,NUM_87,NUM_88,target
1.0,1.0,1.0,1.0,0.95,1.0,2,2,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,0.888889,0.941176,0.941176,0.86,0.86,3,2,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,3,0.530065,0.760775,0.647217,1,1.0,1.0,1.0,3,0.999982,0.6,0.307692,2,0.999982,0.7,0.466667,2,0.999947,0.6,0.307692,2,0.999973,0.7,0.375,2,1.0,1.0,1
1.0,0.5,0.666667,0.666667,0.463415,0.575,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.0,0.0,0.5,0.285714,0.5,0.285714,2,2,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.666667,0.444444,0.721852,0.651732,0.5,0.428571,2,2,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,3,0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,1
1.0,0.75,0.857143,0.857143,0.857143,0.95,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,0.625,0.769231,0.769231,0.473684,0.605263,3,2,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.016949,0.818182,0.692308,2,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,2,1.0,1.0,1.0,3,1.0,1.0,1.0,3,0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,1
1.0,1.0,1.0,1.0,1.0,1.0,2,2,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,0.875,0.933333,0.933333,0.829268,0.833333,3,2,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,3,0.530065,0.760775,0.647217,1,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,3,0.999704,0.75,0.416667,2,0.999219,0.555556,0.357143,2,1.0,0.999999,1
0.0,0.0,0.170139,0.027778,0.166667,0.04,1,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.6,0.375,0.589744,0.461538,0.305556,0.347826,2,2,1.0,0.5,0.666667,0.666667,0.527778,0.527778,3,2,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,2,0.999876,0.555556,0.333333,2,0.99945,0.5,0.294118,2,0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,0
0.5,0.333333,0.48,0.436364,0.4,0.346154,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,0.857143,0.923077,0.923077,0.90625,0.909091,3,2,0.857143,0.857143,0.904762,0.892857,0.888889,0.842105,2,2,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.999758,0.999758,0.999758,0.999758,0.999758,0.999758,1,1,0.0,0.363636,0.2,2,0.530065,0.760775,0.647217,1,1.0,1.0,1.0,3,0.999959,0.666667,0.545455,2,0.999944,0.6,0.4,2,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,0
1.0,1.0,1.0,1.0,1.0,1.0,2,2,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.8,0.444444,0.589286,0.571429,0.294118,0.263158,2,2,0.857143,0.545455,0.680556,0.666667,0.516129,0.5,2,2,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,3,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,2,0.999814,0.777778,0.357143,2,0.999883,0.6,0.4,2,0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,1
1.0,1.0,1.0,1.0,1.0,1.0,2,2,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.875,0.875,0.916667,0.90625,0.690476,0.85,2,2,1.0,0.666667,0.8,0.8,0.666667,0.684211,3,2,0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,2,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1
0.666667,0.5,0.681633,0.571429,0.416667,0.413793,1,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.5,0.2,0.396825,0.285714,0.178571,0.166667,2,2,1.0,0.285714,0.444444,0.444444,0.315789,0.333333,3,2,0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,2,0.977671,0.333333,0.176471,2,0.985082,0.4,0.235294,2,0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,0.99925,0.979322,1
0.5,0.5,0.5625,0.533333,0.5,0.333333,1,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.3,0.272727,0.487831,0.315344,0.365385,0.238806,2,2,0.666667,0.4,0.527778,0.5,0.65,0.423077,2,2,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.0,0.2,0.047619,2,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,2,0.998367,0.444444,0.266667,2,0.994876,0.5,0.294118,2,0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,0.999971,0.979322,0
