NUM_00,CAT_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,target
0.884695,7,0.93617,0.031494,0.373103,0.002052,0.322631,0.633772,0
0.027211,5,0.638298,0.080491,0.486611,0.003467,0.422915,0.414912,1
0.434184,4,1.0,0.059625,0.393038,0.003467,0.422915,0.414912,0
0.915667,4,0.319149,0.083103,0.48438,0.005677,0.570948,0.238158,1
0.005354,5,0.191489,0.064519,0.20842,0.003467,0.422915,0.414912,0
0.890049,3,0.404255,0.082082,0.765546,0.005712,0.762817,0.282895,1
0.470023,1,0.595745,0.027981,0.301398,0.00189,0.182289,0.635526,1
0.000531,7,0.382979,0.084064,0.365814,0.003467,0.422915,0.414912,1
0.01376,7,0.531915,0.041221,0.353317,0.003467,0.422915,0.414912,0
0.907792,7,0.87234,0.041251,0.351235,0.002786,0.336613,0.497807,0
0.000177,6,0.893617,0.047106,0.282059,0.003467,0.422915,0.414912,0
0.894739,4,0.787234,0.193887,0.941684,0.01243,0.798032,0.528947,1
0.885978,1,0.744681,0.066831,0.553407,0.004429,0.491973,0.599123,1
0.442193,4,0.553191,0.085475,0.524249,0.003467,0.422915,0.414912,1
0.017654,5,0.319149,0.071334,0.516959,0.003467,0.422915,0.414912,0
0.460555,3,0.106383,0.02573,0.25186,0.001708,0.34464,0.664035,0
0.899075,5,0.680851,0.085025,0.546415,0.005517,0.542983,0.644737,1
0.000841,7,0.553191,0.087426,0.274026,0.003467,0.422915,0.414912,0
0.867749,2,0.361702,0.029122,0.582118,0.001894,0.510875,0.676316,0
0.008805,6,0.276596,0.041582,0.228206,0.003467,0.422915,0.414912,0
0.000531,7,0.191489,0.06518,0.073639,0.003467,0.422915,0.414912,0
0.898323,2,0.787234,0.087547,0.796043,0.00571,0.685655,0.547807,1
0.885625,7,0.553191,0.041311,0.404939,0.002738,0.363801,0.596491,0
0.442237,5,0.595745,0.061517,0.506843,0.003467,0.422915,0.414912,0
0.912216,3,0.808511,0.044674,0.457602,0.003014,0.405748,0.364912,0
0.014159,2,0.617021,0.061847,0.49033,0.003467,0.422915,0.414912,1
0.474094,2,0.06383,0.028191,0.166766,0.001878,0.267737,0.75614,0
0.902748,5,0.148936,0.042482,0.19042,0.002771,0.31305,0.642982,0
0.455821,7,0.404255,0.042482,0.635674,0.00296,0.423097,0.50614,0
0.018406,1,0.744681,0.103399,0.487206,0.003467,0.422915,0.414912,1
0.903411,6,0.914894,0.03927,0.415948,0.002619,0.378301,0.499561,0
0.442237,5,0.957447,0.053771,0.435882,0.003467,0.422915,0.414912,0
0.903146,7,0.765957,0.081302,0.441982,0.005386,0.386328,0.538596,1
0.014203,3,0.765957,0.040711,0.60116,0.003467,0.422915,0.414912,0
0.894297,1,0.297872,0.02624,0.246355,0.001531,0.226567,0.833772,0
0.456042,5,0.914894,0.036298,0.559804,0.002497,0.45624,0.508772,0
0.00469,4,1.0,0.120001,0.556084,0.003467,0.422915,0.414912,0
0.443078,4,0.744681,0.083794,0.692353,0.0056,0.673485,0.471491,1
0.026592,5,0.319149,0.114117,0.49152,0.003467,0.422915,0.414912,1
0.469758,2,0.106383,0.021046,0.124665,0.001423,0.185137,0.56886,0
0.884695,7,0.212766,0.028462,0.13255,0.000839,0.263594,0.67807,0
0.447148,6,0.787234,0.048037,0.711098,0.003438,0.630243,0.264035,0
