Original_Name,Standard_Name
BRANCH_COUNT,NUM_00
CALL_PAIRS,NUM_01
CONDITION_COUNT,NUM_02
CYCLOMATIC_COMPLEXITY,NUM_03
CYCLOMATIC_DENSITY,NUM_04
DECISION_COUNT,NUM_05
DECISION_DENSITY,NUM_06
DESIGN_COMPLEXITY,NUM_07
DESIGN_DENSITY,NUM_08
EDGE_COUNT,NUM_09
ESSENTIAL_COMPLEXITY,NUM_10
ESSENTIAL_DENSITY,NUM_11
HALSTEAD_CONTENT,NUM_12
HALSTEAD_DIFFICULTY,NUM_13
HALSTEAD_EFFORT,NUM_14
HALSTEAD_ERROR_EST,NUM_15
HALSTEAD_LENGTH,NUM_16
HALSTEAD_LEVEL,NUM_17
HALSTEAD_PROG_TIME,NUM_18
HALSTEAD_VOLUME,NUM_19
LOC_BLANK,NUM_20
LOC_CODE_AND_COMMENT,NUM_21
LOC_COMMENTS,NUM_22
LOC_EXECUTABLE,NUM_23
LOC_TOTAL,NUM_24
MAINTENANCE_SEVERITY,NUM_25
MODIFIED_CONDITION_COUNT,NUM_26
MULTIPLE_CONDITION_COUNT,NUM_27
NODE_COUNT,NUM_28
NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_29
NUMBER_OF_LINES,NUM_30
NUM_OPERANDS,NUM_31
NUM_OPERATORS,NUM_32
NUM_UNIQUE_OPERANDS,NUM_33
NUM_UNIQUE_OPERATORS,NUM_34
PERCENT_COMMENTS,NUM_35
PARAMETER_COUNT,CAT_00
